"","Date","Weight","Caloric.Intake","Main.Lift","Notes","strength","type"
"1","2019-10-08",151,2000,"B135x5","Shoulder hurt after final set but not in beginning of workout",151.890189018902,"Bench"
"2","2019-10-10",150,2000,"O100x5","",112.511251125113,"Overhead Press"
"3","2019-10-14",149.9,2300,"B135x6","Barely did the 6th rep. Shoulder pain.",156.794425087108,"Bench"
"4","2019-10-15",149.8,2300,"D195x5","I did 225x2, but form sucked and couldn't do third",219.396939693969,"Deadlift"
"5","2019-10-16",151,2300,"O135x5","Tried for 135x7, but 5 was difficult enough",151.890189018902,"Overhead Press"
"6","2019-10-17",151,2300,"*Rest","",0,""
"7","2019-10-20",151.2,2000,"S185x5","Low bar feels good, could push a lot more",208.145814581458,"Squat"
"8","2019-10-21",151.8,2100,"B140x3","Shoulder sucks. Couldn't do full range of motion down to chest",148.242270224481,"Bench"
"9","2019-10-22",151.7,2300,"X","",0,""
"10","2019-10-23",151.8,2300,"D205x3","Felt wayyyy smoother",217.06903854299,"Deadlift"
"11","2019-10-24",152.2,2100,"X","",0,""
"12","2019-10-25",151.4,2300,"O105x4","Low back starting to hurt. Be cautious of this",114.553785729871,"Overhead Press"
"13","2019-10-27",153,2500,"S205x3","Felt easy af",217.06903854299,"Squat"
"14","2019-10-28",152.2,2400,"B150x1","Could have gotten bar lower. Shoulder motion not awesome",150,"Bench"
"15","2019-10-29",153,2500,"*Rest","Actually not sore anywhere",0,""
"16","2019-10-31",154,2400,"O115x1","Bench feels good with wide grip",115,"Overhead Press"
"17","2019-11-01",153.4,2400,"X","Easy recovery day",0,""
"18","2019-11-02",153.5,2400,"X","Gameday. Tons of cardio, not much eating",0,""
"19","2019-11-05",152.8,2000,"S225x2","SMOOTH AS HELL",231.433861345402,"Squat"
"20","2019-11-06",152.2,2000,"B135x5","Not bad. No real pain until the 5th rep of 135",151.890189018902,"Bench"
"21","2019-11-07",154.4,2200,"R2x16:07","You are so out of shape lol",8.05833333333333,"Running"
"22","2019-11-08",153,2200,"D245x3","Be smart, don’t hurt your back",259.423972892842,"Deadlift"
"23","2019-11-09",154,2000,"*Rest","Left back kinda hurts from shit form yesterday. Hopefully it doesn't stay that way ",0,""
"24","2019-11-10",155.6,2000,"O105x5","Felt solid. Hard enough but not impossible",118.136813681368,"Overhead Press"
"25","2019-11-11",154.6,2300,"S205x8","Lmao, you need to get the weight up. Lower left back still hurts a bit",254.531909610132,"Squat"
"26","2019-11-12",154.6,2200,"X
","Harry Event. Did recovery movements and arms beforehand",0,""
"27","2019-10-13",154.4,2200,"B145x5","Get the bar lower. Always have a spotter to make that happen",163.141314131413,"Bench"
"28","2019-11-14",156,2300,"R3x22:57","Not bad. Work on breathing",7.65,"Running"
"29","2019-11-15",155.5,2000,"*Rest","Hungover",0,""
"30","2019-11-16",155.5,1800,"*Rest","",0,""
"31","2019-11-17",155,2100,"D285x3","HOLY HELL. My lower left back is fucked. Lower right feels fine.",301.778907242694,"Deadlift"
"32","2019-11-18",154.2,2100,"X","Did a hypertrophy workout at the house. Did 115x5x3 deadlifts to fix up back injury. Feels stiff still",0,""
"33","2019-11-19",155.5,2200,"O115x3","Shiiity form. Eat more.",121.770436255824,"Overhead Press"
"34","2019-11-20",156.5,2300,"R3x21:54","Felt a lot stronger. Finished in a sprint ",7.3,"Running"
"35","2019-11-21",155.2,2100,"S240x3","CLEAN",254.129606099111,"Squat"
"36","2019-11-22",155.2,2200,"B155x2","Solid",159.432215593499,"Bench"
"37","2019-11-23",156,3000,"*Rest","Mascot Colorado Game",0,""
"38","2019-11-24",156,2800,"D315x1","Pretty slow but not bad form",315,"Deadlift"
"39","2019-11-25",154.6,2400,"O120x1","Insanely Easy. I'm thinking the extra food is what gave the strength. I also had coffee right before my midday workout",120,"Overhead Press"
"40","2019-11-26",157,2600,"X","Shoulder hurts a lot. Did a home workout",0,""
"41","2019-11-27",157,2600,"S255x1","Squat wasn’t hard. I tried out deficit DLs for 185x5x8 and it felt good",255,"Squat"
"42","2019-11-28",157,3100,"*Rest","Shoulder hurts a lot. No exercise at all
",0,""
"43","2019-11-29",157.5,2800,"X","Mascotted Apple Cup. TONS of walking. SHoulder sucks",0,""
"44","2019-11-30",157.2,2200,"*Rest","Taken a few rest days. Shoulder has hurt like a bitch since last workout",0,""
"45","2019-12-01",158.2,2800,"D295x5","Pretty easy and 10lbs more than scheduled. Did shoulder PT in the morning and before workout and felt much better",331.908190819082,"Deadlift"
"46","2019-12-02",156.8,2400,"O115x4","Didn’t make it. Time to eat big!!",125.463670085097,"Overhead Press"
"47","2019-12-03",156.8,2800,"X","Hypertrophy Day. Did dips to add more chest volume",0,""
"48","2019-12-04",157.4,2800,"S245x5","Was easy. I went for 255x5 and got it, but knees caved in hard. Don't push yourself like this.",275.652565256526,"Squat"
"49","2019-12-05",158,2700,"*Rest","True rest day. Got 2 finals to study for",0,""
"50","2019-12-06",158.2,2700,"B145x7","Pretty easy, diet is on point",174.027844455113,"Bench"
"51","2019-12-07",157.6,2600,"D315x3","Kinda caved in the back",333.545108005083,"Deadlift"
"52","2019-12-08",156.4,2600,"O120x3","Shitty form, but made it happen",127.064803049555,"Overhead Press"
"53","2019-12-09",157,2600,"*Rest","Had a fat assignment due, no time for gym",0,""
"54","2019-12-10",158,2800,"S255x3","Did a two a day. Squats were nice",270.012706480305,"Squat"
"55","2019-12-11",158.6,2800,"B155x4","Shoulder barely hurts anymore",169.103207506,"Bench"
"56","2019-12-12",156.6,2600,"*Rest","Tired",0,""
"57","2019-12-13",158.8,2800,"D325x1","Two a day. Tried for 345x1 but barely got it off ground",325,"Deadlift"
"58","2019-12-14",159.2,2800,"X","Hypertrophy day",0,""
"59","2019-12-15",160.4,3000,"O130x1
","Not bad. Kinda jumped it up. My bench moved incerdibly well at 135x8s !!!",NA,"Overhead Press"
"60","2019-12-16",160.2,2800,"X","Just did a Centr workout and swam. No time for two-a-day",0,""
"61","2019-12-17",160.9,3000,"S275x1","KILLED IT. First knees caved in, second was much better. Actively push knees away",275,"Squat"
"62","2019-12-18",159.6,2500,"B170x2","EASY AS FUCK",174.861139683193,"Bench"
"63","2019-12-19",159.5,2700,"*Rest","Vegas weekend",0,""
"64","2019-12-20",160,3200,"*Rest","Vegas weekend",0,""
"65","2019-12-21",161,3200,"*Rest","Vegas weekend",0,""
"66","2019-12-22",161,3200,"*Rest","Vegas weekend",0,""
"67","2019-12-23",161,3000,"B155x5","Failed  at 165x3, gotta eat more/better",174.392439243924,"Bench"
